PASSENGERS,FREIGHT,UNIQUE_CARRIER_NAME,DEST_CITY_NAME,YEAR,MONTH
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,4
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,5
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,6
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,6
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,6
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,6
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,6
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,6
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,7
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,8
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,9
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,9
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,10
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,10
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,10
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,11
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,12
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,12
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,12
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Wilmington, DE",2022,11
0,0,Cape Air,"Martha's Vineyard, MA",2022,1
0,0,Cape Air,"Martha's Vineyard, MA",2022,2
0,0,Cape Air,"Martha's Vineyard, MA",2022,3
0,0,Cape Air,"Martha's Vineyard, MA",2022,4
0,0,Cape Air,"Martha's Vineyard, MA",2022,5
0,0,Cape Air,"Martha's Vineyard, MA",2022,6
0,0,Cape Air,"Martha's Vineyard, MA",2022,6
0,0,Cape Air,"Martha's Vineyard, MA",2022,7
0,0,Cape Air,"Martha's Vineyard, MA",2022,7
0,0,Cape Air,"Martha's Vineyard, MA",2022,8
0,0,Cape Air,"Martha's Vineyard, MA",2022,8
0,0,Cape Air,"Martha's Vineyard, MA",2022,9
0,0,Cape Air,"Martha's Vineyard, MA",2022,9
0,0,Cape Air,"Martha's Vineyard, MA",2022,10
0,0,Cape Air,"Martha's Vineyard, MA",2022,11
0,0,Cape Air,"Martha's Vineyard, MA",2022,12
0,0,Cape Air,"Nantucket, MA",2022,1
0,0,Cape Air,"Nantucket, MA",2022,1
0,0,Cape Air,"Nantucket, MA",2022,2
0,0,Cape Air,"Nantucket, MA",2022,2
0,0,Cape Air,"Nantucket, MA",2022,3
0,0,Cape Air,"Nantucket, MA",2022,3
0,0,Cape Air,"Nantucket, MA",2022,4
0,0,Cape Air,"Nantucket, MA",2022,5
0,0,Cape Air,"Nantucket, MA",2022,5
0,0,Cape Air,"Nantucket, MA",2022,6
0,0,Cape Air,"Nantucket, MA",2022,6
0,0,Cape Air,"Nantucket, MA",2022,7
0,0,Cape Air,"Nantucket, MA",2022,7
0,0,Cape Air,"Nantucket, MA",2022,8
0,0,Cape Air,"Nantucket, MA",2022,8
0,0,Cape Air,"Nantucket, MA",2022,9
0,0,Cape Air,"Nantucket, MA",2022,9
0,0,Cape Air,"Nantucket, MA",2022,10
0,0,Cape Air,"Nantucket, MA",2022,11
0,0,Cape Air,"Nantucket, MA",2022,11
0,0,Cape Air,"Nantucket, MA",2022,12
0,0,Cape Air,"New York, NY",2022,1
0,0,Cape Air,"New York, NY",2022,2
0,0,Cape Air,"New York, NY",2022,3
0,0,Cape Air,"New York, NY",2022,5
0,0,Cape Air,"New York, NY",2022,6
0,0,Cape Air,"New York, NY",2022,6
0,0,Cape Air,"New York, NY",2022,7
0,0,Cape Air,"New York, NY",2022,7
0,0,Cape Air,"New York, NY",2022,8
0,0,Cape Air,"New York, NY",2022,8
0,0,Cape Air,"New York, NY",2022,9
0,0,Cape Air,"New York, NY",2022,9
0,0,Cape Air,"New York, NY",2022,11
0,0,Cape Air,"New York, NY",2022,12
0,0,Cape Air,"Provincetown, MA",2022,1
0,0,Cape Air,"Provincetown, MA",2022,3
0,0,Cape Air,"Provincetown, MA",2022,4
0,0,Cape Air,"White Plains, NY",2022,1
0,0,Cape Air,"White Plains, NY",2022,1
0,0,Cape Air,"White Plains, NY",2022,1
0,0,Cape Air,"White Plains, NY",2022,2
0,0,Cape Air,"White Plains, NY",2022,2
0,0,Cape Air,"White Plains, NY",2022,3
0,0,Cape Air,"White Plains, NY",2022,3
0,0,Cape Air,"White Plains, NY",2022,3
0,0,Cape Air,"White Plains, NY",2022,4
0,0,Cape Air,"White Plains, NY",2022,4
0,0,Cape Air,"White Plains, NY",2022,4
0,0,Cape Air,"White Plains, NY",2022,5
0,0,Cape Air,"White Plains, NY",2022,5
0,0,Cape Air,"White Plains, NY",2022,6
0,0,Cape Air,"White Plains, NY",2022,6
